id,user,date,pc,filename,activity,to_removable_media
E2,U100,2024-01-01 07:05:00.077438,PC-100,option.tiff,File Open,False
E3,U100,2024-01-01 11:59:00.077438,PC-100,skin.mov,File Open,False
E4,U100,2024-01-01 12:32:00.077438,PC-100,water.webm,File Open,False
E5,U100,2024-01-01 10:52:00.077438,PC-100,high.webm,File Open,False
E6,U100,2024-01-01 06:57:00.077438,PC-100,Mr.gif,File Open,False
E74,U104,2024-01-01 09:01:13.106257,PC-104,discuss.mp3,File Open,False
E75,U104,2024-01-01 12:07:13.106257,PC-104,national.tiff,File Open,False
E76,U104,2024-01-01 13:47:13.106257,PC-104,onto.css,File Open,False
E77,U104,2024-01-01 09:39:13.106257,PC-104,loss.bmp,File Open,False
E78,U104,2024-01-01 08:57:13.106257,PC-104,region.jpg,File Open,False
E100,U105,2024-01-01 12:42:19.076474,PC-105,spring.wav,File Open,False
E101,U105,2024-01-01 09:16:19.076474,PC-105,plan.numbers,File Open,False
E102,U105,2024-01-01 08:23:19.076474,PC-105,stay.wav,File Open,False
E103,U105,2024-01-01 12:10:19.076474,PC-105,no.mp3,File Open,False
E136,U107,2024-01-01 16:33:00.000000,PC-107,notice.odp,File Open,False
E137,U107,2024-01-01 17:04:00.000000,PC-107,be.js,File Open,False
E138,U107,2024-01-01 14:42:00.000000,PC-107,visit.mp4,File Open,False
E139,U107,2024-01-01 17:17:00.000000,PC-107,future.txt,File Open,False
E147,U108,2024-01-01 08:02:01.141368,PC-108,behavior.mp3,File Open,False
E148,U108,2024-01-01 10:34:01.141368,PC-108,game.ppt,File Open,False
E149,U108,2024-01-01 06:43:01.141368,PC-108,treatment.mp3,File Open,False
E165,U109,2024-01-01 11:30:52.179739,PC-109,two.docx,File Open,False
E187,U111,2024-01-01 09:33:00.000000,PC-111,where.bmp,File Open,False
E188,U111,2024-01-01 06:16:00.000000,PC-111,small.pptx,File Open,False
E189,U111,2024-01-01 07:07:00.000000,PC-111,deep.csv,File Open,False
E210,U112,2024-01-01 09:21:00.000000,PC-112,admit.mov,File Open,False
E211,U112,2024-01-01 12:25:00.000000,PC-112,area.jpeg,File Open,False
E212,U112,2024-01-01 09:16:00.000000,PC-112,know.tiff,File Open,False
E213,U112,2024-01-01 07:27:00.000000,PC-112,skill.mp4,File Open,False
E223,U113,2024-01-01 08:40:30.172919,PC-113,just.js,File Open,False
E246,U114,2024-01-01 07:56:02.577610,PC-114,training.css,File Open,False
E247,U114,2024-01-01 07:37:02.577610,PC-114,laugh.pages,File Open,False
E248,U114,2024-01-01 10:32:02.577610,PC-114,security.webm,File Open,False
E249,U114,2024-01-01 13:18:02.577610,PC-114,building.html,File Open,False
E250,U114,2024-01-01 09:59:02.577610,PC-114,garden.css,File Open,False
E282,U116,2024-01-01 09:13:07.490106,PC-116,because.mp3,File Open,False
E283,U116,2024-01-01 10:50:07.490106,PC-116,listen.jpeg,File Open,False
E284,U116,2024-01-01 09:24:07.490106,PC-116,then.avi,File Open,False
E305,U117,2024-01-01 11:51:06.078680,PC-117,suddenly.mov,File Open,False
E306,U117,2024-01-01 08:40:06.078680,PC-117,language.wav,File Open,False
