id,user,date,pc,activity
E0,U100,2024-01-01 06:24:46.262594,PC-100,Logon
E1,U100,2024-01-01 15:26:49.274902,PC-100,Logoff
E15,U101,2024-01-01 01:32:00.000000,PC-101,Logon
E16,U101,2024-01-01 09:19:16.320139,PC-101,Logoff
E39,U102,2024-01-01 07:49:36.307851,PC-102,Logon
E40,U102,2024-01-01 15:35:52.166213,PC-102,Logoff
E54,U103,2024-01-01 06:03:40.156680,PC-103,Logon
E55,U103,2024-01-01 15:47:56.475312,PC-103,Logoff
E73,U104,2024-01-01 07:43:10.357834,PC-104,Logon
E74,U104,2024-01-01 17:46:02.996997,PC-104,Logoff
E84,U105,2024-01-01 06:32:15.879942,PC-105,Logon
E85,U105,2024-01-01 14:42:06.341534,PC-105,Logoff
E99,U106,2024-01-01 07:04:44.142933,PC-106,Logon
E100,U106,2024-01-01 16:35:45.565459,PC-106,Logoff
E117,U107,2024-01-01 16:02:00.000000,PC-107,Logon
E118,U107,2024-01-02 00:59:13.922286,PC-107,Logoff
E127,U108,2024-01-01 07:14:45.671233,PC-108,Logon
E128,U108,2024-01-01 14:37:08.362663,PC-108,Logoff
E146,U109,2024-01-01 06:21:46.420268,PC-109,Logon
E147,U109,2024-01-01 13:29:39.946175,PC-109,Logoff
E168,U110,2024-01-01 07:59:45.730348,PC-110,Logon
E169,U110,2024-01-01 15:01:51.240732,PC-110,Logoff
E187,U111,2024-01-01 10:13:00.000000,PC-111,Logon
E188,U111,2024-01-01 17:39:32.778547,PC-111,Logoff
E211,U112,2024-01-01 15:59:00.000000,PC-112,Logon
E212,U112,2024-01-01 21:21:00.927377,PC-112,Logoff
E233,U113,2024-01-01 07:31:51.065090,PC-113,Logon
E234,U113,2024-01-01 16:02:09.614859,PC-113,Logoff
E247,U114,2024-01-01 06:25:18.134345,PC-114,Logon
E248,U114,2024-01-01 14:44:52.409991,PC-114,Logoff
E267,U115,2024-01-01 07:53:59.428710,PC-115,Logon
E268,U115,2024-01-01 16:12:14.341041,PC-115,Logoff
E285,U116,2024-01-01 06:23:26.481990,PC-116,Logon
E286,U116,2024-01-01 14:43:21.451563,PC-116,Logoff
E306,U117,2024-01-01 07:41:44.112042,PC-117,Logon
E307,U117,2024-01-01 15:51:15.548931,PC-117,Logoff
E331,U118,2024-01-01 07:25:16.366362,PC-118,Logon
E332,U118,2024-01-01 13:47:43.473042,PC-118,Logoff
E342,U119,2024-01-01 07:27:23.179735,PC-119,Logon
E343,U119,2024-01-01 15:34:34.136582,PC-119,Logoff
E365,U120,2024-01-01 06:04:20.985071,PC-120,Logon
E366,U120,2024-01-01 13:46:01.710299,PC-120,Logoff
E386,U121,2024-01-01 07:40:09.148672,PC-121,Logon
E387,U121,2024-01-01 17:21:21.155099,PC-121,Logoff
